,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
22459,46,admin.,married,secondary,no,154,no,no,cellular,22,aug,58,2,-1,0,unknown,no
22460,36,management,divorced,tertiary,no,276,yes,no,cellular,22,aug,131,2,-1,0,unknown,no
22468,57,retired,married,primary,no,333,no,no,unknown,22,aug,336,2,-1,0,unknown,no
22474,48,management,divorced,tertiary,no,2939,no,no,cellular,22,aug,91,4,-1,0,unknown,no
22488,47,management,married,tertiary,no,5049,no,no,cellular,22,aug,47,7,-1,0,unknown,no
22489,47,housemaid,divorced,secondary,no,26,no,no,cellular,22,aug,48,4,-1,0,unknown,no
22493,44,management,married,tertiary,no,1383,no,no,cellular,22,aug,243,12,-1,0,unknown,no
22494,46,management,married,tertiary,no,144,no,no,cellular,22,aug,79,4,-1,0,unknown,no
22501,34,unemployed,married,tertiary,no,10,no,no,cellular,22,aug,71,5,-1,0,unknown,no
22504,36,management,divorced,tertiary,no,0,no,no,cellular,22,aug,247,4,-1,0,unknown,no
22509,34,management,married,secondary,no,857,yes,no,cellular,22,aug,238,6,-1,0,unknown,no
22513,41,technician,married,secondary,no,994,no,no,cellular,22,aug,117,4,-1,0,unknown,no
22515,31,management,single,tertiary,no,47,no,no,cellular,22,aug,361,4,-1,0,unknown,no
22516,33,management,single,tertiary,no,71,no,no,cellular,22,aug,107,6,-1,0,unknown,no
22519,39,management,single,tertiary,no,968,yes,no,cellular,22,aug,199,6,-1,0,unknown,no
22526,31,unknown,divorced,tertiary,no,137,no,no,cellular,22,aug,385,9,-1,0,unknown,no
22544,36,technician,divorced,secondary,no,433,no,no,cellular,22,aug,173,3,-1,0,unknown,no
22551,41,management,married,tertiary,no,527,no,no,cellular,22,aug,96,1,-1,0,unknown,no
22554,34,management,married,secondary,no,42,no,no,cellular,22,aug,82,3,-1,0,unknown,no
22555,31,technician,single,secondary,no,373,no,no,cellular,22,aug,346,5,-1,0,unknown,no
22558,32,technician,married,tertiary,no,43,no,no,cellular,22,aug,154,5,-1,0,unknown,no
22559,47,services,married,secondary,no,2322,no,no,cellular,22,aug,618,1,-1,0,unknown,no
22560,35,technician,single,secondary,no,127,no,no,cellular,22,aug,203,1,-1,0,unknown,no
22563,41,technician,married,secondary,no,65,no,no,cellular,22,aug,157,1,-1,0,unknown,no
22568,31,management,single,tertiary,no,1308,no,no,cellular,22,aug,323,3,-1,0,unknown,no
22571,36,technician,married,secondary,no,287,no,no,cellular,22,aug,381,6,-1,0,unknown,no
22572,30,technician,single,secondary,no,0,no,no,cellular,22,aug,79,5,-1,0,unknown,no
22573,42,technician,divorced,secondary,no,2861,no,no,cellular,22,aug,30,5,-1,0,unknown,no
22576,31,management,single,tertiary,no,18,no,no,cellular,22,aug,332,3,-1,0,unknown,no
22583,30,services,married,secondary,no,475,no,no,cellular,22,aug,192,5,-1,0,unknown,no
22595,32,management,married,tertiary,no,26,no,no,cellular,22,aug,222,6,-1,0,unknown,no
22600,37,management,married,tertiary,no,49,no,yes,cellular,22,aug,132,1,-1,0,unknown,no
22606,60,blue-collar,married,primary,no,0,no,no,cellular,22,aug,195,1,-1,0,unknown,no
22612,30,technician,married,secondary,no,394,no,no,cellular,22,aug,216,13,-1,0,unknown,no
22615,44,self-employed,married,secondary,no,465,no,no,cellular,22,aug,160,1,-1,0,unknown,no
22618,41,management,divorced,tertiary,no,369,yes,no,telephone,22,aug,9,3,-1,0,unknown,no
22620,30,management,divorced,tertiary,no,0,no,no,cellular,22,aug,209,2,-1,0,unknown,no
22625,32,management,married,tertiary,no,2172,yes,no,cellular,22,aug,306,4,-1,0,unknown,no
22636,35,technician,single,secondary,no,24,no,no,cellular,22,aug,392,1,-1,0,unknown,no
22641,39,technician,married,secondary,no,140,no,no,cellular,22,aug,110,1,-1,0,unknown,no
22642,34,management,single,tertiary,no,0,no,no,cellular,22,aug,174,1,-1,0,unknown,no
22645,32,technician,divorced,tertiary,no,53,no,no,cellular,22,aug,671,2,-1,0,unknown,yes
22647,31,technician,married,tertiary,no,1385,no,no,cellular,25,aug,116,8,-1,0,unknown,no
22654,50,management,married,tertiary,no,135,no,no,cellular,25,aug,162,4,-1,0,unknown,no
22655,36,management,married,tertiary,no,591,yes,no,cellular,25,aug,109,5,-1,0,unknown,no
22661,53,unknown,married,unknown,no,0,no,no,cellular,25,aug,209,5,-1,0,unknown,no
22663,33,technician,single,secondary,no,-32,no,no,cellular,25,aug,196,12,-1,0,unknown,no
22674,35,technician,single,tertiary,no,275,yes,no,cellular,25,aug,63,5,-1,0,unknown,no
22675,34,technician,married,secondary,no,47,no,no,cellular,25,aug,132,6,-1,0,unknown,no
22681,55,blue-collar,married,secondary,no,467,no,no,cellular,25,aug,129,5,-1,0,unknown,no
22684,43,management,married,tertiary,no,676,no,no,cellular,25,aug,143,4,-1,0,unknown,no
22687,37,management,married,tertiary,no,0,no,no,cellular,25,aug,112,4,-1,0,unknown,no
22689,40,technician,divorced,secondary,no,237,no,no,cellular,25,aug,87,5,-1,0,unknown,no
22700,46,blue-collar,married,primary,no,575,no,no,cellular,25,aug,129,3,-1,0,unknown,no
22701,38,technician,divorced,secondary,no,631,yes,no,cellular,25,aug,343,2,-1,0,unknown,no
22709,47,technician,married,tertiary,no,52,no,no,cellular,25,aug,93,5,-1,0,unknown,no
22713,33,management,single,tertiary,no,-2,no,yes,cellular,25,aug,147,6,-1,0,unknown,no
22716,32,management,married,tertiary,no,1232,no,no,cellular,25,aug,97,4,-1,0,unknown,no
22719,37,technician,married,secondary,no,5380,no,no,cellular,25,aug,123,6,-1,0,unknown,no
22725,46,management,married,secondary,no,0,no,no,telephone,25,aug,67,10,-1,0,unknown,no
22727,43,housemaid,married,primary,no,0,yes,no,cellular,25,aug,152,3,-1,0,unknown,no
22731,59,technician,married,secondary,no,283,no,no,cellular,25,aug,272,4,-1,0,unknown,no
22734,56,management,single,tertiary,no,3694,no,no,cellular,25,aug,57,4,-1,0,unknown,no
22741,45,technician,single,secondary,no,21,yes,no,cellular,25,aug,72,3,-1,0,unknown,no
22742,37,technician,married,tertiary,no,905,yes,no,cellular,25,aug,111,7,-1,0,unknown,no
22745,38,management,married,tertiary,no,1463,yes,no,cellular,25,aug,425,4,-1,0,unknown,no
22752,33,technician,married,secondary,no,0,no,no,cellular,25,aug,72,2,-1,0,unknown,no
22755,49,technician,married,secondary,no,626,yes,no,cellular,25,aug,90,4,-1,0,unknown,no
22759,58,blue-collar,married,primary,no,5188,yes,no,cellular,25,aug,606,6,-1,0,unknown,yes
22764,44,management,married,tertiary,no,-68,no,yes,cellular,25,aug,121,4,-1,0,unknown,no
22766,55,management,single,tertiary,no,43074,yes,no,cellular,25,aug,92,6,-1,0,unknown,no
22769,47,services,married,secondary,no,756,no,no,cellular,25,aug,154,4,-1,0,unknown,no
22774,33,technician,married,tertiary,no,463,no,no,cellular,25,aug,390,7,-1,0,unknown,no
22777,50,management,married,tertiary,no,3327,no,no,cellular,25,aug,74,7,-1,0,unknown,no
22778,30,management,married,tertiary,no,144,yes,no,cellular,25,aug,23,17,-1,0,unknown,no
22789,31,management,single,tertiary,no,0,no,no,cellular,25,aug,11,16,-1,0,unknown,no
22791,59,retired,married,unknown,no,0,no,no,cellular,25,aug,213,4,-1,0,unknown,no
22792,30,technician,married,tertiary,no,3418,no,no,cellular,25,aug,211,7,-1,0,unknown,no
22793,39,entrepreneur,married,tertiary,no,0,no,no,cellular,25,aug,422,10,-1,0,unknown,no
22802,41,technician,married,secondary,no,1190,no,no,cellular,25,aug,69,4,-1,0,unknown,no
22820,31,management,single,tertiary,no,0,no,no,cellular,25,aug,101,6,-1,0,unknown,no
22829,56,management,married,tertiary,no,154,no,no,cellular,25,aug,454,6,-1,0,unknown,no
22834,59,retired,married,primary,no,255,no,yes,cellular,25,aug,62,6,-1,0,unknown,no
22836,33,technician,single,secondary,no,31,no,yes,cellular,25,aug,131,3,-1,0,unknown,no
22846,33,management,married,tertiary,no,130,no,no,cellular,25,aug,121,8,-1,0,unknown,no
22852,45,blue-collar,married,secondary,no,1335,yes,no,cellular,25,aug,702,2,-1,0,unknown,no
22861,32,technician,single,secondary,no,230,yes,no,cellular,25,aug,256,8,-1,0,unknown,no
22867,58,management,married,tertiary,no,657,no,no,cellular,25,aug,378,3,-1,0,unknown,no
22868,55,blue-collar,married,primary,no,2275,no,no,cellular,25,aug,139,9,-1,0,unknown,no
22874,52,technician,married,secondary,no,981,no,no,cellular,25,aug,43,4,-1,0,unknown,no
22877,41,technician,married,tertiary,no,63,no,no,cellular,25,aug,36,3,-1,0,unknown,no
22888,52,management,married,tertiary,no,3163,no,no,cellular,25,aug,56,6,-1,0,unknown,no
22889,31,technician,single,tertiary,no,23,no,no,cellular,25,aug,121,3,-1,0,unknown,no
22892,51,self-employed,married,primary,no,1242,no,no,cellular,25,aug,75,11,-1,0,unknown,no
22894,34,management,married,tertiary,no,224,no,no,cellular,25,aug,108,5,-1,0,unknown,no
22904,59,blue-collar,married,primary,no,0,no,no,cellular,25,aug,128,5,-1,0,unknown,no
22907,51,services,married,secondary,no,917,no,no,cellular,25,aug,56,6,-1,0,unknown,no
22910,51,retired,married,tertiary,no,746,no,no,cellular,25,aug,372,5,-1,0,unknown,yes
22911,34,management,married,secondary,no,333,no,no,cellular,26,aug,90,4,-1,0,unknown,no
22913,38,management,married,tertiary,no,93,yes,no,cellular,26,aug,69,4,-1,0,unknown,no
22919,41,management,married,tertiary,no,771,yes,no,cellular,26,aug,106,8,-1,0,unknown,no
22921,42,management,married,tertiary,no,295,yes,no,cellular,26,aug,109,3,-1,0,unknown,no
22925,34,student,single,tertiary,no,1322,no,no,cellular,26,aug,170,3,-1,0,unknown,no
22929,61,management,married,tertiary,no,7935,no,no,cellular,26,aug,427,17,-1,0,unknown,no
22943,51,management,divorced,secondary,no,292,no,no,cellular,26,aug,146,9,-1,0,unknown,no
22957,43,technician,divorced,secondary,no,1326,no,no,cellular,26,aug,93,2,-1,0,unknown,no
22959,34,management,single,tertiary,no,250,no,no,cellular,26,aug,64,2,-1,0,unknown,no
22962,46,technician,married,secondary,no,1596,yes,no,cellular,26,aug,106,7,-1,0,unknown,no
22964,33,management,single,tertiary,no,0,no,no,cellular,26,aug,60,2,-1,0,unknown,no
22965,34,management,single,tertiary,no,436,no,no,cellular,26,aug,312,2,-1,0,unknown,no
22967,33,technician,single,secondary,no,659,no,no,cellular,26,aug,274,2,-1,0,unknown,no
22981,47,blue-collar,married,primary,no,0,no,no,cellular,26,aug,185,4,-1,0,unknown,no
22983,49,blue-collar,married,primary,no,3478,no,no,cellular,26,aug,165,4,-1,0,unknown,no
22985,31,management,married,tertiary,no,0,no,no,cellular,26,aug,76,2,-1,0,unknown,no
22986,45,technician,divorced,secondary,no,0,no,no,cellular,26,aug,64,2,-1,0,unknown,no
22989,43,management,married,secondary,no,17555,no,no,cellular,26,aug,14,14,-1,0,unknown,no
22993,48,technician,married,tertiary,no,0,no,no,telephone,26,aug,176,15,-1,0,unknown,no
22996,32,technician,single,secondary,no,0,no,no,cellular,26,aug,181,2,-1,0,unknown,no
23011,46,blue-collar,married,secondary,no,3,no,no,cellular,26,aug,153,14,-1,0,unknown,no
23022,55,retired,married,secondary,no,273,no,no,cellular,26,aug,417,2,-1,0,unknown,no
23026,40,management,single,tertiary,no,0,yes,no,cellular,26,aug,24,16,-1,0,unknown,no
23027,36,management,married,tertiary,no,1313,no,no,cellular,26,aug,80,6,-1,0,unknown,no
23036,32,management,single,tertiary,no,5167,no,no,cellular,26,aug,10,18,-1,0,unknown,no
23039,33,management,single,secondary,no,0,no,no,cellular,26,aug,99,2,-1,0,unknown,no
23044,31,admin.,married,secondary,yes,-51,no,yes,cellular,26,aug,173,2,-1,0,unknown,no
23049,59,technician,divorced,secondary,no,2,no,no,cellular,26,aug,164,2,-1,0,unknown,no
23052,35,admin.,married,tertiary,no,6,no,no,cellular,26,aug,130,2,-1,0,unknown,no
23053,44,technician,married,secondary,no,608,no,no,cellular,26,aug,128,2,-1,0,unknown,no
23056,42,management,single,tertiary,no,145,no,no,cellular,26,aug,174,2,-1,0,unknown,no
23067,42,technician,single,secondary,no,275,no,no,cellular,26,aug,31,8,-1,0,unknown,no
23071,30,management,married,secondary,yes,471,yes,no,cellular,26,aug,73,4,-1,0,unknown,no
23073,42,management,divorced,tertiary,no,1243,no,no,cellular,26,aug,1000,4,-1,0,unknown,yes
23074,45,technician,married,secondary,no,34,no,no,cellular,26,aug,333,4,-1,0,unknown,no
23075,48,management,married,primary,no,2537,no,no,cellular,26,aug,219,6,-1,0,unknown,no
23090,37,management,single,tertiary,no,-533,no,no,cellular,26,aug,234,4,-1,0,unknown,no
23098,35,management,single,tertiary,no,0,no,no,cellular,26,aug,30,20,-1,0,unknown,no
23113,45,management,married,tertiary,no,22815,no,no,cellular,26,aug,653,8,-1,0,unknown,no
23123,31,unemployed,married,tertiary,no,7744,no,no,cellular,26,aug,377,8,-1,0,unknown,no
23145,32,management,married,tertiary,no,5910,no,no,cellular,26,aug,75,3,-1,0,unknown,no
23148,36,technician,single,secondary,yes,0,no,yes,cellular,26,aug,109,14,-1,0,unknown,no
23149,40,management,single,tertiary,no,0,no,no,cellular,26,aug,58,7,-1,0,unknown,no
23152,36,management,married,secondary,no,699,no,no,cellular,26,aug,20,8,-1,0,unknown,no
23158,41,management,divorced,tertiary,no,1757,no,no,cellular,26,aug,515,13,-1,0,unknown,no
23170,34,management,single,tertiary,no,1612,no,no,cellular,27,aug,108,22,-1,0,unknown,no
23177,31,management,single,tertiary,no,730,no,no,cellular,27,aug,108,6,-1,0,unknown,no
23181,51,blue-collar,married,secondary,no,285,yes,yes,cellular,27,aug,27,8,-1,0,unknown,no
23182,31,technician,divorced,tertiary,no,0,no,no,cellular,27,aug,581,6,-1,0,unknown,yes
23185,35,technician,married,secondary,no,0,no,no,cellular,27,aug,18,14,-1,0,unknown,no
23191,48,entrepreneur,married,primary,no,386,no,yes,cellular,27,aug,185,5,-1,0,unknown,no
23195,54,management,married,tertiary,no,656,yes,yes,cellular,27,aug,105,6,-1,0,unknown,no
23199,55,retired,married,secondary,no,39,no,no,cellular,27,aug,281,5,-1,0,unknown,no
23210,52,management,divorced,tertiary,no,0,no,no,cellular,27,aug,153,4,-1,0,unknown,no
23211,55,services,married,unknown,no,2944,no,no,cellular,27,aug,672,6,-1,0,unknown,yes
23212,40,technician,married,secondary,no,336,no,no,cellular,27,aug,156,6,-1,0,unknown,no
23214,38,management,married,tertiary,no,3724,yes,no,cellular,27,aug,23,10,-1,0,unknown,no
23220,59,housemaid,married,primary,no,0,no,no,cellular,27,aug,76,11,-1,0,unknown,no
23221,44,management,married,tertiary,no,-84,yes,no,cellular,27,aug,159,6,-1,0,unknown,no
23222,35,technician,single,secondary,no,344,no,no,cellular,27,aug,519,16,-1,0,unknown,yes
23233,48,management,married,tertiary,no,6748,no,no,cellular,27,aug,162,3,-1,0,unknown,no
23236,36,technician,married,secondary,no,30,no,no,cellular,27,aug,111,2,-1,0,unknown,no
23257,46,management,married,tertiary,no,0,no,no,cellular,27,aug,121,2,-1,0,unknown,no
23278,43,technician,divorced,secondary,no,-414,no,no,cellular,27,aug,590,4,-1,0,unknown,no
23284,46,services,married,secondary,no,236,no,no,cellular,27,aug,320,28,-1,0,unknown,no
23292,31,management,married,tertiary,no,607,no,no,cellular,27,aug,200,5,-1,0,unknown,no
23295,46,management,married,secondary,no,0,no,no,cellular,27,aug,38,6,-1,0,unknown,no
23298,56,retired,married,primary,no,-1,no,no,cellular,27,aug,89,23,-1,0,unknown,no
23300,46,admin.,married,secondary,no,979,no,no,cellular,27,aug,34,15,-1,0,unknown,no
23313,36,self-employed,married,secondary,no,96,no,no,cellular,27,aug,125,15,-1,0,unknown,no
23314,58,retired,married,secondary,no,413,no,no,cellular,27,aug,104,5,-1,0,unknown,no
23315,31,self-employed,single,tertiary,no,1788,no,no,cellular,27,aug,212,15,-1,0,unknown,no
23324,33,technician,married,tertiary,no,48,no,no,cellular,27,aug,34,14,-1,0,unknown,no
23325,47,blue-collar,married,primary,no,209,no,no,cellular,27,aug,77,6,-1,0,unknown,no
23326,38,management,single,tertiary,no,194,no,no,cellular,27,aug,561,2,-1,0,unknown,no
23327,51,blue-collar,married,primary,yes,-17,no,no,cellular,27,aug,134,6,-1,0,unknown,no
23329,46,self-employed,married,primary,no,49,no,no,cellular,27,aug,197,6,-1,0,unknown,no
23333,53,self-employed,married,tertiary,no,837,no,no,cellular,27,aug,160,4,-1,0,unknown,no
23337,48,technician,married,secondary,no,164,no,no,cellular,27,aug,76,4,-1,0,unknown,no
23346,51,services,married,secondary,no,7,no,no,cellular,27,aug,18,18,-1,0,unknown,no
23347,41,management,married,tertiary,yes,852,yes,yes,cellular,27,aug,157,10,-1,0,unknown,no
23351,32,technician,single,secondary,no,1165,no,no,cellular,27,aug,19,23,-1,0,unknown,no
23355,39,management,single,tertiary,no,816,yes,no,cellular,27,aug,37,3,-1,0,unknown,no
23357,36,technician,divorced,secondary,no,54,yes,no,cellular,27,aug,1642,3,-1,0,unknown,yes
23374,54,management,divorced,tertiary,no,124,no,no,cellular,27,aug,119,11,-1,0,unknown,no
23377,38,housemaid,married,primary,no,3918,no,no,cellular,27,aug,101,3,-1,0,unknown,no
23379,50,management,married,secondary,no,0,no,no,cellular,27,aug,97,7,-1,0,unknown,no
23383,32,technician,single,secondary,no,109,no,no,cellular,27,aug,101,3,-1,0,unknown,no
23386,43,management,married,tertiary,yes,0,no,no,cellular,27,aug,25,19,-1,0,unknown,no
23388,37,blue-collar,single,secondary,no,243,no,no,cellular,27,aug,167,10,-1,0,unknown,no
23402,40,technician,married,secondary,no,4594,no,no,telephone,27,aug,296,5,-1,0,unknown,no
23412,56,technician,married,secondary,no,4073,no,no,cellular,27,aug,239,5,-1,0,unknown,no
23413,31,technician,single,secondary,no,137,no,no,cellular,27,aug,27,14,-1,0,unknown,no
23414,37,entrepreneur,married,tertiary,no,298,no,no,cellular,27,aug,183,5,-1,0,unknown,no
23418,50,housemaid,married,primary,no,238,no,no,cellular,27,aug,968,5,-1,0,unknown,no
23422,40,self-employed,married,secondary,yes,2,no,no,cellular,27,aug,158,3,-1,0,unknown,no
23424,40,technician,married,secondary,yes,4,no,no,cellular,27,aug,145,3,-1,0,unknown,no
23425,47,management,married,tertiary,no,-315,yes,yes,cellular,27,aug,112,9,-1,0,unknown,no
23429,39,management,married,secondary,no,0,yes,no,cellular,27,aug,63,3,-1,0,unknown,no
23431,38,unemployed,single,secondary,no,0,no,no,cellular,27,aug,44,3,-1,0,unknown,no
23433,35,entrepreneur,married,tertiary,no,1194,no,yes,cellular,28,aug,34,10,-1,0,unknown,no
23439,58,management,single,tertiary,no,21,no,no,telephone,28,aug,315,19,-1,0,unknown,no
23440,33,management,married,tertiary,no,1138,no,no,cellular,28,aug,73,4,-1,0,unknown,no
23447,33,management,single,tertiary,no,0,no,no,cellular,28,aug,236,10,-1,0,unknown,no
23451,58,retired,married,tertiary,no,136,no,no,cellular,28,aug,211,6,-1,0,unknown,no
23452,30,management,married,tertiary,no,549,no,no,cellular,28,aug,59,8,-1,0,unknown,no
23465,39,management,married,tertiary,no,45,no,no,cellular,28,aug,148,4,-1,0,unknown,no
23467,56,retired,married,primary,yes,-123,no,yes,cellular,28,aug,146,3,-1,0,unknown,no
23469,52,blue-collar,married,primary,no,-27,no,no,cellular,28,aug,51,8,-1,0,unknown,no
23478,42,technician,married,secondary,no,29,no,no,cellular,28,aug,53,11,-1,0,unknown,no
23479,32,management,married,tertiary,no,678,no,no,cellular,28,aug,13,15,-1,0,unknown,no
23482,32,management,single,tertiary,no,27,no,no,cellular,28,aug,146,3,-1,0,unknown,no
23487,34,management,single,tertiary,no,1070,no,no,cellular,28,aug,91,15,-1,0,unknown,no
23489,44,entrepreneur,married,tertiary,no,3463,yes,yes,cellular,28,aug,210,3,-1,0,unknown,no
23490,51,management,married,secondary,no,1573,no,no,cellular,28,aug,72,18,-1,0,unknown,no
23498,32,management,single,tertiary,no,36,no,no,cellular,28,aug,108,7,-1,0,unknown,no
23507,44,management,married,tertiary,no,3762,no,no,cellular,28,aug,125,12,-1,0,unknown,no
23508,40,technician,married,secondary,no,170,no,no,cellular,28,aug,12,24,-1,0,unknown,no
23523,59,management,divorced,tertiary,no,51,no,no,cellular,28,aug,129,2,-1,0,unknown,no
23526,40,management,married,tertiary,no,1666,yes,no,cellular,28,aug,271,4,-1,0,unknown,no
23527,43,management,married,tertiary,no,2696,yes,no,cellular,28,aug,86,10,-1,0,unknown,no
23531,37,management,married,tertiary,no,236,no,no,cellular,28,aug,95,2,-1,0,unknown,no
23532,42,management,married,tertiary,no,-671,no,no,cellular,28,aug,80,2,-1,0,unknown,no
23548,32,management,married,tertiary,no,0,no,no,cellular,28,aug,15,13,-1,0,unknown,no
23552,50,services,married,secondary,no,1545,no,no,cellular,28,aug,56,8,-1,0,unknown,no
23560,32,unemployed,single,tertiary,no,99,no,no,cellular,28,aug,49,35,-1,0,unknown,no
23570,42,management,single,tertiary,no,759,no,yes,cellular,28,aug,105,6,-1,0,unknown,no
23576,46,management,married,tertiary,no,1906,no,no,cellular,28,aug,44,6,-1,0,unknown,no
23579,37,management,married,secondary,no,859,no,no,cellular,28,aug,246,15,-1,0,unknown,no
23581,30,technician,single,tertiary,no,0,no,no,cellular,28,aug,20,19,-1,0,unknown,no
23582,32,services,single,tertiary,no,0,no,no,cellular,28,aug,23,12,-1,0,unknown,no
23591,44,technician,married,secondary,no,65,no,no,telephone,28,aug,53,11,-1,0,unknown,no
23592,59,retired,married,secondary,no,82,no,no,cellular,28,aug,308,6,-1,0,unknown,no
23595,53,blue-collar,married,primary,no,5603,no,no,cellular,28,aug,2372,6,-1,0,unknown,yes
23596,39,management,married,tertiary,no,0,no,no,cellular,28,aug,93,25,-1,0,unknown,no
23600,33,management,married,tertiary,no,6174,no,no,cellular,28,aug,19,14,-1,0,unknown,no
23603,37,technician,married,secondary,no,163,no,yes,cellular,28,aug,9,24,-1,0,unknown,no
23604,42,technician,married,secondary,no,3,no,no,cellular,28,aug,11,26,-1,0,unknown,no
23605,43,management,married,tertiary,no,241,no,no,cellular,28,aug,79,10,-1,0,unknown,no
23610,31,self-employed,married,tertiary,no,81,no,no,cellular,28,aug,532,2,-1,0,unknown,no
23614,48,technician,married,secondary,no,1548,no,no,cellular,28,aug,143,5,-1,0,unknown,no
23619,37,technician,married,secondary,no,729,no,no,cellular,28,aug,156,8,-1,0,unknown,no
23637,60,self-employed,married,secondary,no,1690,no,no,cellular,28,aug,64,11,-1,0,unknown,no
23647,45,blue-collar,married,primary,no,377,no,no,cellular,28,aug,26,23,-1,0,unknown,no
23654,33,technician,single,tertiary,no,436,no,no,cellular,28,aug,258,8,-1,0,unknown,no
23667,30,technician,married,tertiary,no,0,no,no,cellular,28,aug,140,9,-1,0,unknown,no
23676,43,management,married,tertiary,no,370,no,no,cellular,28,aug,142,5,-1,0,unknown,no
23682,42,self-employed,married,tertiary,no,0,no,no,cellular,28,aug,35,13,-1,0,unknown,no
23695,30,technician,married,secondary,no,42,no,no,cellular,28,aug,140,3,-1,0,unknown,no
23698,44,management,married,tertiary,no,0,no,no,cellular,28,aug,43,1,-1,0,unknown,no
23702,38,management,single,tertiary,no,0,no,no,cellular,28,aug,59,12,-1,0,unknown,no
23704,37,self-employed,married,tertiary,no,552,no,no,cellular,28,aug,379,1,-1,0,unknown,no
23706,43,housemaid,married,primary,no,685,no,no,cellular,28,aug,77,7,-1,0,unknown,no
23707,60,retired,married,tertiary,no,45,no,no,cellular,28,aug,39,5,-1,0,unknown,no
23710,39,management,divorced,tertiary,no,295,no,no,cellular,28,aug,68,2,-1,0,unknown,no
23712,51,housemaid,married,primary,no,605,no,no,cellular,28,aug,270,14,-1,0,unknown,no
23715,47,blue-collar,married,primary,no,1480,no,no,cellular,28,aug,460,5,-1,0,unknown,no
23718,50,blue-collar,married,primary,no,565,yes,yes,cellular,28,aug,36,3,-1,0,unknown,no
23722,33,technician,married,secondary,no,2,no,no,cellular,28,aug,385,7,-1,0,unknown,no
23724,31,technician,single,secondary,no,182,no,no,cellular,28,aug,52,5,-1,0,unknown,no
23727,49,management,married,tertiary,no,223,no,no,cellular,28,aug,22,22,-1,0,unknown,no
23741,59,retired,married,primary,no,4450,no,no,cellular,28,aug,106,3,-1,0,unknown,no
23745,36,technician,married,tertiary,yes,63,no,no,cellular,28,aug,12,14,-1,0,unknown,no
23754,30,management,single,tertiary,no,0,no,no,cellular,28,aug,62,7,-1,0,unknown,no
23755,35,management,married,tertiary,no,1684,yes,no,cellular,28,aug,39,8,-1,0,unknown,no
23759,58,management,married,tertiary,no,0,no,no,cellular,28,aug,24,9,-1,0,unknown,no
23765,56,blue-collar,married,primary,no,313,no,no,cellular,28,aug,24,16,-1,0,unknown,no
23776,39,management,married,tertiary,no,-17,yes,yes,cellular,28,aug,908,1,-1,0,unknown,yes
23780,32,technician,married,secondary,no,235,yes,no,telephone,28,aug,688,6,-1,0,unknown,no
23782,31,management,single,tertiary,no,58,no,no,cellular,29,aug,207,2,-1,0,unknown,no
23783,33,management,single,tertiary,no,2059,no,no,cellular,29,aug,106,2,-1,0,unknown,no
23789,31,technician,married,tertiary,no,0,no,no,cellular,29,aug,70,2,-1,0,unknown,no
23798,35,technician,divorced,secondary,no,56,no,no,cellular,29,aug,24,12,-1,0,unknown,no
23799,34,management,single,tertiary,no,-281,no,no,cellular,29,aug,56,6,-1,0,unknown,no
23810,37,technician,married,tertiary,no,1561,no,no,cellular,29,aug,88,7,-1,0,unknown,no
23812,37,management,single,secondary,no,45,no,no,cellular,29,aug,99,3,-1,0,unknown,no
23813,60,retired,married,tertiary,no,614,no,no,cellular,29,aug,50,3,-1,0,unknown,no
23823,36,technician,single,secondary,no,0,no,no,cellular,29,aug,21,2,-1,0,unknown,no
23838,31,management,single,tertiary,no,471,no,no,cellular,29,aug,153,2,-1,0,unknown,no
23841,45,technician,married,secondary,no,865,no,no,cellular,29,aug,80,4,-1,0,unknown,no
23844,59,retired,married,secondary,no,374,no,no,cellular,29,aug,272,2,-1,0,unknown,no
23851,37,management,married,tertiary,no,5,no,no,cellular,29,aug,36,2,-1,0,unknown,no
23853,46,blue-collar,married,secondary,no,877,no,no,cellular,29,aug,339,2,-1,0,unknown,no
23855,49,management,single,secondary,no,0,no,no,cellular,29,aug,121,2,-1,0,unknown,no
23861,32,technician,single,secondary,no,284,no,no,cellular,29,aug,161,2,-1,0,unknown,no
23864,34,admin.,married,secondary,no,96,no,no,cellular,29,aug,109,2,-1,0,unknown,no
23867,58,services,married,secondary,no,74,no,no,cellular,29,aug,105,2,-1,0,unknown,no
23870,32,management,single,tertiary,no,0,no,no,cellular,29,aug,255,2,-1,0,unknown,no
23873,48,technician,married,tertiary,no,16,no,no,cellular,29,aug,77,2,-1,0,unknown,no
23882,56,services,married,unknown,no,628,no,no,cellular,29,aug,96,2,-1,0,unknown,no
23883,34,technician,single,secondary,no,943,no,no,cellular,29,aug,96,4,-1,0,unknown,no
23885,31,technician,married,secondary,no,13,no,no,cellular,29,aug,245,2,-1,0,unknown,no
23892,34,technician,married,secondary,yes,91,no,no,cellular,29,aug,67,4,-1,0,unknown,no
23903,46,blue-collar,married,secondary,no,1685,yes,no,cellular,29,aug,203,2,-1,0,unknown,no
23906,34,technician,divorced,secondary,no,7,yes,yes,cellular,29,aug,273,2,-1,0,unknown,no
23908,32,management,married,tertiary,no,500,no,yes,cellular,29,aug,107,2,-1,0,unknown,no
23922,59,technician,married,secondary,no,0,no,no,cellular,29,aug,62,2,-1,0,unknown,no
